,Star_name,Distance,Mass,Radius,Gravity
192,SDSSp J125453.90-012247.4 [de],38.0,44865636.0,1.0070774e+16,1.2132913665044295e-22
193,Kelu-1A,61.0,60139044.0,1.0070774e+16,1.6263267253144482e-22
194,Kelu-1B,61.0,55366104.0,1.0070774e+16,1.4972531756863173e-22
195,2MASS J13204427+0409045,101.0,63957396.0,10379063.0,0.00016283638629960607
196,SDSSp J132629.82-003831.5 [de],65.0,4.8683988e+16,9968011000000000.0,1.3438354958456155e-13
197,SDSSp J134646.45-003150.4 [de],48.0,42001872.0,9659721999999998.0,1.2345718494263702e-22
198,2MASS J13595510-4034582,51.0,60139044.0,102763.0,1.561924186991996
199,ULAS J141623.94+134836.3,29.7,30546816.0,9865248000000000.0,8.608488684920613e-23
200,SDSS J141659.78+500626.4 [de],149.0,56320692.0,1.0173537e+16,1.4924542366510666e-22
201,DENIS-P J142527.97-365023.4 [de],38.0,2.0046348e+16,13564716.0,29880.70452617072
202,LHS 2924,38.5,72548688.0,10892878.0,0.00016769544351685864
203,2MASS J14392837+1929150,47.0,68730336.0,10584589.0,0.00016825866846122524
204,LSPM J1440+1339,72.0,87822096.0,1.2228796999999998e+16,1.6106949805497962e-22
205,2MASS J14482563+1031590 [de],47.0,56320692.0,1.0173537e+16,1.4924542366510666e-22
206,CFBDSIR 1458+10A,104.0,105959268.0,1541445.0,0.012230940723535207
207,CFBDSIR 1458+10B,104.0,8591292.0,1.335919e+16,1.3203078503736231e-23
208,TVLM 513-46546,35.1,7159410000000001.0,10790115.0,16865.61048474243
209,2MASS 1503+2525,20.7,42001872.0,9659721999999998.0,1.2345718494263702e-22
210,CFBDS J150411+102717,71.0,42001872.0,9659721999999998.0,1.2345718494263702e-22
211,2MASSW J1506544+132106 [de],46.0,65866572.0,10481826.0,0.00016442511259779166
212,2MASS 1507−1627,23.9,5.727528000000001e+16,1.0173537e+16,1.5177500711705765e-13
213,TVLM 868-110639,53.0,75412452.0,11098404.0,0.00016791866817499466
214,2MASSW J1515008+484742 [de],34.0,54411516.0,1.0173537e+16,1.4418625676120475e-22
215,2MASSI J1526140+204341 [de],67.0,51547752.0,1.0070774e+16,1.3939943359838128e-22
216,DENIS-P J153941.96-052042.4 [de],51.0,60139044.0,102763.0,1.561924186991996
217,2MASS J15462718-3325111 [de],37.0,42001872.0,9659721999999998.0,1.2345718494263702e-22
218,2MASSW J1552591+294849 [de],68.0,2.863764e+16,1.4695108999999998e+16,3.637211709018247e-14
219,2MASSW J1555157-095605 [de],44.0,67775748.0,10584589.0,0.00016592174251037488
220,2MASS J16150413+1340079 [de],48.0,4.0092696e+16,9659721999999998.0,1.178454947179717e-13
221,SDSSp J162414.37+002915.6 [de],36.0,41047284.0,9659721999999998.0,1.2065133983030433e-22
222,2MASS J16262034+3925190 [de],110.0,67775748.0,10584589.0,0.00016592174251037488
223,2MASSW J1632291+190441 [de],50.0,46774812.0,9968011000000000.0,1.2911360646359834e-22
224,WISEPA J164715.59+563208.2,28.0,39138108.0,9659721999999998.0,1.1503964960563904e-22
225,LSPM J1658+7027 [de],60.0,69684924.0,10687352.0,0.00016733068242582376
226,2MASSI J1726000+153819,114.0,22910112.0,1.4386819999999996e+16,3.0358098872536384e-23
227,SDSSp J175032.96+175903.9,90.0,44865636.0,9968011000000000.0,1.2384366334263515e-22
228,2MASS J18283572-4849046,39.0,4295646.0,9762485000000000.0,1.2361885136462179e-23
229,LSR J1835+3259,18.5,73503276.0,10995641.0,0.00016674106478888943
230,2MASSW J1841086+311727,138.0,63957396.0,10379063.0,0.00016283638629960607
231,2MASS J18432213+4040209,46.0,91640448.0,12537086.0,0.00015990828753069413
232,2MASS J20004841-7523070,105.0,238647.0,1.9319443999999996e+16,1.7536531952079118e-25
233,SDSS J204749.61-071818.3,65.0,43911048.0,9865248000000000.0,1.2374702484573383e-22
234,2MASSI J2057540-025230,47.0,6682116.0,10481826.0,1.6680808524413646e-05
235,2MASSI J2104149-103736,62.0,65866572.0,10481826.0,0.00016442511259779166
236,PSO J318.5−22,80.0,6.204822000000001e+16,15722739.0,68841.43200551663
237,HB 2124-4228,113.0,89731272.0,1.2434323e+16,1.5917560663764146e-22
238,2MASS J21392676+0220226,32.1,43911048.0,9865248000000000.0,1.2374702484573383e-22
239,2MASS J21481628+4003593,26.3,5250234.0,1.0173537e+16,1.3912708985730284e-23
240,2MASSW J2206450-421721,93.0,21000936.0,13667479.0,3.083463412722992e-05
241,2MASSW J2208136+292121,154.0,25773876.0,1.4489582999999998e+16,3.3670141347991914e-23
242,2MASSW J2224438-015852,38.0,5.8229868e+16,1.0173537e+16,1.5430459056900858e-13
243,2MASS J22282889-4310262,35.0,4.0092696e+16,9659721999999998.0,1.178454947179717e-13
244,2MASS J22373255+3922398,64.0,69684924.0,10687352.0,0.00016733068242582376
245,2MASSW J2244316+204343,56.0,11455056.0,1.3256426999999998e+16,1.7878094402431133e-23
246,2MASS J23224684-3133231,56.0,22910112.0,1.4284056999999996e+16,3.07964772994003e-23
247,2MASS J23225299-6151275,148.0,16227996.0,16339317.0,1.6671476840857293e-05
248,2MASS J23515044-2537367,67.0,84003744.0,1.1920507999999998e+16,1.6213847891693523e-22
249,2MASSI J2356547-155310,74.0,7636704.0,1.1201167e+16,1.6693845577019685e-23
250,WISE 0410+1502,20.0,5727528.0,1.2023270999999998e+16,1.0866731278795256e-23
251,WISE 0458+6434A,35.9,1.431882e+16,4316046.0,210820.13105928033
252,WISE 0458+6434B,35.9,954588.0,3.904993999999999e+16,1.716928491175303e-25
253,WISE 1405+5534,25.3,2.863764e+16,8837618.0,2.4471070969610063e-08
